Slime,100,100,1,1,50,false,5.0,1,6.0,木の枝,ただの砥石,ロープ,小さな宝石,奇跡の石,1,,,,,
Bird,300,300,2,1,100,false,5.0,2,5.0,錆びた鉄鉱石,ただの砥石,ロープ,小さな宝石,奇跡の石,2,,,,,
Plant,500,500,4,1,200,false,5.0,4,5.0,木材,ただの砥石,ロープ,小さな宝石,魔法のジェム,4,,,,,
Kobold,700,700,7,1,300,false,5.0,5,4.0,魔鉱石,ただの砥石,頑丈なロープ,小さな宝石,魔法のジェム,7,,,,,
Zombie,1000,1000,9,1,400,false,5.0,10,5.0,鉄鉱石,鋭い砥石,頑丈なロープ,宝石,魔法のジェム,9,,,,,
Fairy,1500,1500,10,1,500,false,5.0,20,5.0,精錬された鉄,鋭い砥石,頑丈なロープ,宝石,蒼き宝石,10,,,,,
Skull,2000,2000,12,1,600,false,5.0,30,5.0,軽量な合金,鋭い砥石,シルク,宝石,蒼き宝石,12,,,,,
Wizard,3000,3000,14,1,700,false,5.0,40,5.0,伝説の鋼,精密砥石,最高のロープ,宝石,蒼き宝石,14,,,,,
Solidier,4500,4500,16,1,800,false,5.0,50,5.0,古代の鉄鉱石,精密砥石,優れたシルク,大きな宝石,聖なる宝玉,16,,,,,
Dragon,10000,10000,20,1,1000,false,10.0,100,3.8,暗黒の合金,暗黒の魂,最高のロープ,大きな宝石,聖なる宝玉,20,,,,,
